objectid,bevoegd_gezag_nummer,brin_nummer,vestigingsnummer,vestigingsnaam,denominatie,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_3_jaar,lftd_4_jaar,lftd_5_jaar,lftd_6_jaar,lftd_7_jaar,lftd_8_jaar,lftd_9_jaar,lftd_10_jaar,lftd_11_jaar,lftd_12_jaar,lftd_13_jaar,lftd_14_jaar
72,32073,11VZ,11VZ00,Het Kompas Protestants Christelijke Basisschool,Protestants-Christelijk,Einthovenstraat,26,9402CB,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.kompasassen.nl,233216,557519,pc6hnrgeentoev,,213,0,37,31,25,25,25,28,21,17,4,0,0
73,32073,12OR,12OR00,De Scharmhof,Protestants-Christelijk,Scharmbarg,1,9407EA,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.scharmhof.nl,233922,559618,pc6hnrgeentoev,,392,0,49,47,50,58,44,47,37,47,12,1,0
74,32073,21LS,21LS00,De Borg,Protestants-Christelijk,Dusselheugte,13,9403GN,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.basisschooldeborg.nl,235210,559658,pc6hnrgeentoev,,400,0,56,44,45,44,43,48,65,48,7,0,0
75,32073,27BM,27BM00,Christelijke Basisschool het Krijt,Protestants-Christelijk,Schoolstraat,29,9408MB,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.cbshetkrijt.nl,230667,557690,pc6hnrgeentoev,,362,0,37,38,43,50,42,50,47,49,6,0,0
76,32073,27WZ,27WZ00,de Kloostertuin,Protestants-Christelijk,De Boomgaard,1,9408JA,ASSEN,106,ASSEN,Drenthe,GGD Drenthe,www.dekloostertuin.nl,230131,558051,pc6hnrgeentoev,,366,0,46,39,49,48,43,52,40,46,3,0,0
77,37012,04PT,04PT00,Het Blokland Neutrale School voor Basisonderwijs,Algemeen bijzonder,Zwarte Dijkje,31,7914PB,NOORDSCHESCHUT,118,HOOGEVEEN,Drenthe,GGD Drenthe,www.hetblokland.nl,232508,526866,pc6hnrgeentoev,,61,0,15,5,7,5,11,5,6,7,0,0,0
78,40655,03GR,03GR00,Het Mozaiek,Protestants-Christelijk,De Stok,4,7913RE,HOLLANDSCHEVELD,118,HOOGEVEEN,Drenthe,GGD Drenthe,www.pcbshetmozaiek.nl,233226,524726,pc6hnrgeentoev,,273,0,37,35,33,40,34,38,27,22,7,0,0
79,40655,03GR,03GR01,Het Mozaiek,Protestants-Christelijk,Zuideropgaande,150,7913TR,HOLLANDSCHEVELD,118,HOOGEVEEN,Drenthe,GGD Drenthe,                                                                                ,232707,520980,pc6hnrgeentoev,,49,0,4,6,4,5,2,12,8,7,1,0,0
80,40888,04FH,04FH00,Sint Theresiaschool,Rooms-Katholiek,Kerkweg,4,7741PJ,COEVORDEN,109,COEVORDEN,Drenthe,GGD Drenthe,                                                                                ,243542,521248,pc6hnrgeentoev,,100,0,6,2,9,15,18,15,12,20,3,0,0
81,40888,04ZO,04ZO00,Sint Willibrordus,Rooms-Katholiek,Thorbeckestraat,1,7742AJ,COEVORDEN,109,COEVORDEN,Drenthe,GGD Drenthe,www.willibrordusschool.nl,247433,520462,pc6hnrgeentoev,,285,0,46,41,40,34,41,26,27,22,7,1,0
82,40888,06GS,06GS00,Monseigneur Niermanschool,Rooms-Katholiek,Kinkhorststraat,13,7941CN,MEPPEL,119,MEPPEL,Drenthe,GGD Drenthe,www.nierman.nl,209072,523658,pc6hnrgeentoev,,102,0,12,17,6,12,10,20,10,12,3,0,0
83,40888,06HS,06HS00,Rooms Katholieke Nicolaas-School,Rooms-Katholiek,Flintenpad,38,7761AT,SCHOONEBEEK,114,EMMEN,Drenthe,GGD Drenthe,                                                                                ,256389,520106,pc6hnrgeentoev,,86,0,10,6,11,12,9,12,13,7,6,0,0
84,40888,06MU,06MU00,R.K. Basisschool Titus Brandsma,Rooms-Katholiek,Herman Bavinckstraat,1,7901BS,HOOGEVEEN,118,HOOGEVEEN,Drenthe,GGD Drenthe,www.tbschool.nl,228524,527371,pc6hnrgeentoev,,152,0,24,20,12,28,18,17,12,19,2,0,0
85,40888,06QQ,06QQ00,St Franciscussch,Rooms-Katholiek,Zuidersloot,61,7765AG,WEITEVEEN,114,EMMEN,Drenthe,GGD Drenthe,                                                                                ,263882,521653,pc6hnrgeentoev,,144,0,19,19,15,22,16,17,18,14,4,0,0
86,40888,06SF,06SF00,Sint Gerardus Majella School,Rooms-Katholiek,Europaweg,149,7766AE,NIEUW-SCHOONEBEEK,114,EMMEN,Drenthe,GGD Drenthe,                                                                                ,263489,518915,pc6hnrgeentoev,,137,0,11,20,11,18,21,16,17,18,5,0,0
87,40888,07QO,07QO00,Rooms Katholieke Basisschool Panta Rhei,Rooms-Katholiek,Jan van Scorelstraat,1-A,7741XM,COEVORDEN,109,COEVORDEN,Drenthe,GGD Drenthe,www.pantarheischool.nl,247226,521074,pc6hnrtoev,,63,0,12,4,8,7,10,3,9,7,3,0,0
88,40999,03RY,03RY00,Sint Gerardus,Rooms-Katholiek,Splitting,145,7826CT,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.stgerardus-skod.nl,261158,532820,pc6hnrgeentoev,,242,0,29,27,30,26,21,35,36,36,2,0,0
89,40999,04SK,04SK00,St Frans School,Rooms-Katholiek,Harm Tiesingstraat,2,7815JJ,EMMEN,114,EMMEN,Drenthe,GGD Drenthe,www.stfransschool-skod.nl,256838,535949,pc6hnrgeentoev,,101,0,16,17,16,15,12,9,10,5,1,0,0
