objectid,bevoegd_gezag_nummer,brinnummer,vestigingsnummer,vestigingsnaam,denominatie,soort_primair_onderwijs,cluster,straatnaam,huisnummer_toevoeging,pc6,plaatsnaam,gem_code,gemeentenaam,provincie,ggd,internetadres,xcoord,ycoord,geocod,opmerking_geocode,leerlingen,lftd_1tm6,lftd_7tm9,lftd_10tm12,lftd_13tm15,lftd_16tm20,lftd_21tm27
69,41780,26NL,26NL00,Margaretha Hardenbergschool voor Zeer Moeilijk Lerende Kinderen,Openbaar,(V)SO,3,Schoolstraat,11,9641JW,VEENDAM,47,VEENDAM,Groningen,GGD Groningen,www.mhschool.nl,254528,568996,pc6hnrgeentoev,,117,5,12.75,25.75,44.25,29.25,0
70,42510,19SO,19SO00,W A V Liefland School,Openbaar,(V)SO,3,Paterswoldseweg,131,9727BE,GRONINGEN,14,GRONINGEN,Groningen,GGD Groningen,                                                                                ,233203,580401,pc6hnrgeentoev,,243,9.75,39.25,67,70,57,0
71,42510,19VO,19VO00,Mytylsch Prins Johan Friso,Openbaar,(V)SO,3,Dilgtplein,1,9751NJ,HAREN GN,17,HAREN,Groningen,GGD Groningen,www.pjfharen.nl,235896,578311,pc6hnrgeentoev,,147,15.75,19,29.5,51,31.75,0
72,42510,19VO,19VO01,Mytylsch Prins Johan Friso,Openbaar,(V)SO,3,Dilgtplein,1,9751NJ,HAREN GN,17,HAREN,Groningen,GGD Groningen,                                                                                ,235896,578311,pc6hnrgeentoev,,37,6.5,7.5,8.25,8,6.75,0
73,26132,00KX,00KX00,Herman Broerenschool,Rooms-Katholiek,(V)SO,3,Keulsebaan,508,6045GL,ROERMOND,957,ROERMOND,Limburg,GGD Limburg-Noord,www.hermanbroeren.nl,198993,354063,pc6hnrgeentoev,,141,14.25,26.5,34.5,27.5,38.25,0
74,41008,18CZ,18CZ00,School voorV ZMOK De Widdonck,Rooms-Katholiek,(V)SO,4,Meijelseweg,2-B,6089ND,HEIBLOEM,1640,LEUDAL,Limburg,GGD Limburg-Noord,www.aloysiusstichting.nl,190323,367592,pc6hnr,,154,5.5,53.25,88.5,6.75,0,0
75,41008,18CZ,18CZ01,School voor ZMOK De Widdonck,Rooms-Katholiek,(V)SO,4,Beatrixlaan,1,6006AH,WEERT,988,WEERT,Limburg,GGD Limburg-Noord,                                                                                ,177436,361900,pc6hnrgeentoev,,152,5,26,36.5,45.25,39.25,0
76,41331,02RV,02RV00,Mikado SO en VSO ZMLK School,Rooms-Katholiek,(V)SO,3,Stiemensweg,175,6591MD,GENNEP,907,GENNEP,Limburg,GGD Limburg-Noord,www.mikado-school.nl,196129,411011,pc6hnrgeentoev,,153,9.5,21.75,32.75,42.75,46.25,0
77,41373,00SH,00SH00,Instituut voor Orthopedagogisch Onderwijs,Rooms-Katholiek,(V)SO,4,Severenstraat,18,6225AR,MAASTRICHT,935,MAASTRICHT,Limburg,GGD Zuid-Limburg,www.ivoo.nl,178558,319217,pc6hnrgeentoev,,420,34.25,47.5,93.5,159.75,85,0
78,41373,02SP,02SP00,Don Boscoschool ZMOK/SO/ VSO,Rooms-Katholiek,(V)SO,4,Marienwaard,51,6222AM,MAASTRICHT,935,MAASTRICHT,Limburg,GGD Zuid-Limburg,www.donboscoschool.eu,178623,320247,pc6hnrgeentoev,,111,1.75,19.75,30,27.5,32,0
79,41373,17LV,17LV00,Jan Baptist,Rooms-Katholiek,(V)SO,3,Porseleinstraat,14,6216BP,MAASTRICHT,935,MAASTRICHT,Limburg,GGD Zuid-Limburg,www.zmlkjanbaptist.nl,174318,317828,pc6hnrgeentoev,,175,8.75,32.25,52.75,47.25,34,0
80,41506,13KL,13KL00,Monseigneur Hanssenschool voor Vso,Rooms-Katholiek,(V)SO,2,Zandbergsweg,115,6432CC,HOENSBROEK,917,HEERLEN,Limburg,GGD Zuid-Limburg,www.mgrhanssen.nl,191865,326041,pc6hnrgeentoev,,351,109.5,155.25,86.25,0,0,0
